CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)c3ccccc3NC(=O)c3c(OC)cccc3*)cc12;OC;CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)c3ccccc3NC(=O)c3c(OC)cccc3OC)cc12
CCOC(=O)c1oc2ccccc2c1N*;C(=O)CC;CCOC(=O)c1oc2ccccc2c1NC(=O)CC
CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c2c(NC(=O)c3ccc(*)cc3)scc12;OCC;CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c2c(NC(=O)c3ccc(OCC)cc3)scc12
COC(=O)c1scc(-c2ccccc2)c1S(=O)(=O)N*;c1ccc(C)cc1C;COC(=O)c1scc(-c2ccccc2)c1S(=O)(=O)Nc1ccc(C)cc1C
C(CCn1c(=O)[nH]c2cc(C(=O)NCCN3CCN(c4cccc(Cl)c4)CC3)ccc2c1=O)*;CC;CCCCCn1c(=O)[nH]c2cc(C(=O)NCCN3CCN(c4cccc(Cl)c4)CC3)ccc2c1=O
CCCC(N1C(=O)/C(=C\c2cccn2C)SC1=S)*;C(=O)O;CCCC(C(=O)O)N1C(=O)/C(=C\c2cccn2C)SC1=S
C(N1C(=O)/C(=C/c2cc3ccccc3nc2N2CCCCC2)SC1=S)*;COC;COCCN1C(=O)/C(=C/c2cc3ccccc3nc2N2CCCCC2)SC1=S
c1(*)nsc(NC(=O)c2csc3c2CCCC3)n1;CC(=O)C;CC(=O)Cc1nsc(NC(=O)c2csc3c2CCCC3)n1
O=S(=O)(N*)c1ccc(F)cc1;c1ccc(-c2nc3cccnc3s2)cc1;O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccc(F)cc1
O=C(NCC1CCCO1)*;CSc1nc(-c2ccccc2)[nH]c1-c1ccc(F)cc1;O=C(CSc1nc(-c2ccccc2)[nH]c1-c1ccc(F)cc1)NCC1CCCO1
Cc1cc2nnc(S*)n2c2ccccc12;CC(N)=O;Cc1cc2nnc(SCC(N)=O)n2c2ccccc12
C=CCOCC(O)*;Cn1c(NCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C;C=CCOCC(O)Cn1c(NCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C
Cn1c(=O)c2c(nc(N*)n2Cc2ccccc2)n(C)c1=O;CCCO;Cn1c(=O)c2c(nc(NCCCO)n2Cc2ccccc2)n(C)c1=O
O(C(=O)c1c(-c2ccccc2)csc1NC(=O)CS(=O)(=O)c1ccc(C)cc1)*;CC;CCOC(=O)c1c(-c2ccccc2)csc1NC(=O)CS(=O)(=O)c1ccc(C)cc1
O=C(C*)Nc1ccc2c(c1)OCCO2;Sc1nnc(NC(=O)C2CC2)s1;O=C(CSc1nnc(NC(=O)C2CC2)s1)Nc1ccc2c(c1)OCCO2
O=C(O)/C=C\C(=O)*;Nc1ccc(Cl)cc1C(=O)c1ccccc1;O=C(O)/C=C\C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1
CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(NC(=O)*)scc12;C(C)(C)C;CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(NC(=O)C(C)(C)C)scc12
CCC(=O)*;Nc1nnc(SCC(=O)N2CCc3ccccc32)s1;CCC(=O)Nc1nnc(SCC(=O)N2CCc3ccccc32)s1
n1(*)c(SC)nc2c1c(=O)[nH]c(=O)n2C;CCCCCCCC;CCCCCCCCn1c(SC)nc2c1c(=O)[nH]c(=O)n2C
CCN(Cc1ccccc1)C(=O)CSc1nc2ccsc2c(=O)n1*;Cc1ccccc1;CCN(Cc1ccccc1)C(=O)CSc1nc2ccsc2c(=O)n1Cc1ccccc1
Cc1ccc2ncnc(*)c2c1;NCC(=O)O;Cc1ccc2ncnc(NCC(=O)O)c2c1
COc1cc(/C=C2\SC(=S)N(c3ccc(C*)cc3)C2=O)cc(OC)c1OC;C(=O)O;COc1cc(/C=C2\SC(=S)N(c3ccc(CC(=O)O)cc3)C2=O)cc(OC)c1OC
Cc1ccc(-n2c(-c3ccccc3)cn3c4c(=O)n(CC*)c(=O)n(C)c4nc23)cc1;CO;Cc1ccc(-n2c(-c3ccccc3)cn3c4c(=O)n(CCCO)c(=O)n(C)c4nc23)cc1
Cn1nccc1C(=O)*;Nc1nc2ccc(S(C)(=O)=O)cc2s1;Cn1nccc1C(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1
CS(=O)(=O)NC*;C1CCC(C(=O)NCc2nc(-c3ccccc3)no2)CC1;CS(=O)(=O)NCC1CCC(C(=O)NCc2nc(-c3ccccc3)no2)CC1
O=C(Cc1ccc(F)cc1)NC*;CN1CCN(c2ccc(F)cc2)CC1;O=C(Cc1ccc(F)cc1)NCCN1CCN(c2ccc(F)cc2)CC1
O=C(c1ccccc1)*;CN1C(=O)CC(c2ccco2)Sc2ccccc21;O=C(CN1C(=O)CC(c2ccco2)Sc2ccccc21)c1ccccc1
O=C(Nc1c2c(nn1*)CSC2)c1ccccc1Br;c1cccc(Cl)c1;O=C(Nc1c2c(nn1-c1cccc(Cl)c1)CSC2)c1ccccc1Br
COCCNS(=O)(=O)*;c1ccc2c(c1)C(=O)c1ccccc1C2=O;COCCNS(=O)(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O
O=C(c1ccc(C(=O)c2ccccc2)cc1)*;Nc1nnc(-c2ccc(Br)cc2)s1;O=C(Nc1nnc(-c2ccc(Br)cc2)s1)c1ccc(C(=O)c2ccccc2)cc1
O=C(Nc1ccc(O)cc1)*;CN1C(=O)/C(=C\c2cccs2)SC1=S;O=C(CN1C(=O)/C(=C\c2cccs2)SC1=S)Nc1ccc(O)cc1
O=C(C*)NCc1ccco1;CCn1c(=O)[nH]c2ccc(Br)cc2c1=O;O=C(CCCn1c(=O)[nH]c2ccc(Br)cc2c1=O)NCc1ccco1
CCOC(=O)N1CCN(C(c2ccc(*)cc2)c2sc3nc(C)nn3c2O)CC1;C(C)C;CCOC(=O)N1CCN(C(c2ccc(C(C)C)cc2)c2sc3nc(C)nn3c2O)CC1
CC(C)C*;COc1cccc(N2CCn3c2nc2c3c(=O)n(C)c(=O)n2C)c1;CC(C)CCOc1cccc(N2CCn3c2nc2c3c(=O)n(C)c(=O)n2C)c1
C(=O)(Nc1c(C(=O)Nc2ccc(Cl)cc2)oc2ccccc12)*;COc1cccc(OC)c1;COc1cccc(OCC(=O)Nc2c(C(=O)Nc3ccc(Cl)cc3)oc3ccccc23)c1
CCOC(=O)c1sc(NC(=O)CCCOc2ccc(C(C)(C)CC)cc2C(C)(C)CC)c(C(=O)*)c1C;OCC;CCOC(=O)c1sc(NC(=O)CCCOc2ccc(C(C)(C)CC)cc2C(C)(C)CC)c(C(=O)OCC)c1C
CC(C)(C)*;NC(=O)Cn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc12;CC(C)(C)NC(=O)Cn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21
O=C(N*)c1csc(Nc2ccccc2)n1;c1cccnc1;O=C(Nc1cccnc1)c1csc(Nc2ccccc2)n1
COc1ccccc1-n1c(C)cn2c3c(=O)n(*)c(=O)n(C)c3nc12;CC(N)=O;COc1ccccc1-n1c(C)cn2c3c(=O)n(CC(N)=O)c(=O)n(C)c3nc12
CCOc1ccc(/C=C2\Oc3cc(O*)ccc3C2=O)cc1;CC=C(C)C;CCOc1ccc(/C=C2\Oc3cc(OCC=C(C)C)ccc3C2=O)cc1
C(CC)(C(=O)Nc1nnc(SCC(=O)Nc2ccc(OC)cc2)s1)*;CC;CCC(CC)C(=O)Nc1nnc(SCC(=O)Nc2ccc(OC)cc2)s1
COCCNC(=O)C*;Sc1ncnc2c1cnn2-c1ccccc1;COCCNC(=O)CSc1ncnc2c1cnn2-c1ccccc1
CC(C)CN*;c1nc(N)c([N+](=O)[O-])c(NCc2ccccc2)n1;CC(C)CNc1nc(N)c([N+](=O)[O-])c(NCc2ccccc2)n1
COC(=O)CSc1nnc(-c2c[nH]c3ccccc23)n1*;c1cccc(OC)c1;COC(=O)CSc1nnc(-c2c[nH]c3ccccc23)n1-c1cccc(OC)c1
O=C1c2cccc(OCC(=O)N3CCCc4ccccc43)c2CCN1C*;c1ccccc1;O=C1c2cccc(OCC(=O)N3CCCc4ccccc43)c2CCN1Cc1ccccc1
O=C(Nc1nc(-c2ccc(I)cc2)cs1)*;c1ccc(N2C(=O)CCC2=O)cc1;O=C(Nc1nc(-c2ccc(I)cc2)cs1)c1ccc(N2C(=O)CCC2=O)cc1
O(c1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1C)*;CC;CCOc1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1C
COc1cc(NC(=O)NCC2CCN(C(=O)c3ccccc3F)CC2)cc(*)c1OC;OC;COc1cc(NC(=O)NCC2CCN(C(=O)c3ccccc3F)CC2)cc(OC)c1OC
O=C(Nc1cc(C(F)(F)F)ccc1Cl)*;CSc1nc2sc(-c3ccccc3)cc2c(=O)n1-c1ccccc1;O=C(CSc1nc2sc(-c3ccccc3)cc2c(=O)n1-c1ccccc1)Nc1cc(C(F)(F)F)ccc1Cl
COc1ccccc1*;C(=O)Nc1nc2ccc(S(=O)(=O)N(C)C)cc2s1;COc1ccccc1C(=O)Nc1nc2ccc(S(=O)(=O)N(C)C)cc2s1
COc1ccccc1*;NC(=O)C1C(=O)NC2(C)CC1c1ccccc1O2;COc1ccccc1NC(=O)C1C(=O)NC2(C)CC1c1ccccc1O2
O=C(C(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1)*;c1c[nH]c2ccccc12;O=C(C(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1)c1c[nH]c2ccccc12
O(c1ccc(C(=O)Nc2ccccc2-c2nc3ccccc3o2)cc1)*;CCCC;CCCCOc1ccc(C(=O)Nc2ccccc2-c2nc3ccccc3o2)cc1
C(c1cc2cc(-c3csc(-c4ccccc4)n3)c(=O)oc2cc1OC(C)=O)*;CCCCC;CCCCCCc1cc2cc(-c3csc(-c4ccccc4)n3)c(=O)oc2cc1OC(C)=O
C=CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)*;CO;C=CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)CO
O=C(CSc1nnc2ccc(-c3ccncc3)nn12)*;N1CCCC1;O=C(CSc1nnc2ccc(-c3ccncc3)nn12)N1CCCC1
O=C(NCC*)c1ccc(F)cc1;c1csc(-c2ccc(F)cc2)n1;O=C(NCCc1csc(-c2ccc(F)cc2)n1)c1ccc(F)cc1
CCCNC(=O)*;CSc1nc(-c2ccco2)cc(C(F)(F)F)c1C#N;CCCNC(=O)CSc1nc(-c2ccco2)cc(C(F)(F)F)c1C#N
n1(*)cc(S(=O)(=O)c2ccc(OC)cc2)c(=O)c2cc(Cl)ccc12;CCCC;CCCCn1cc(S(=O)(=O)c2ccc(OC)cc2)c(=O)c2cc(Cl)ccc21
S(c1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(Cl)cc1)*;CC(O)C;CC(O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(Cl)cc1
CN(C1CN(c2ccccn2)C1)*;C(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1;CN(C(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1)C1CN(c2ccccn2)C1
CCCN(CCC)*;C(=O)CN1C(=O)c2ccccc2S1(=O)=O;CCCN(CCC)C(=O)CN1C(=O)c2ccccc2S1(=O)=O
CC(N*)c1ccccc1;C(=O)CN1C(=O)c2ccccc2S1(=O)=O;CC(NC(=O)CN1C(=O)c2ccccc2S1(=O)=O)c1ccccc1
CN(Cc1ccccc1)c1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)*;COc1ccc(Cl)cc1Cl;CN(Cc1ccccc1)c1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccc(Cl)cc1Cl
C(=O)(Nc1ccc(-c2nc3ccccc3o2)cc1)*;CC;CCC(=O)Nc1ccc(-c2nc3ccccc3o2)cc1
O=C1C2C3c4ccccc4C(c4ccccc43)C2C(=O)N1*;CCN1CCCCC1;O=C1C2C3c4ccccc4C(c4ccccc43)C2C(=O)N1CCN1CCCCC1
C(COc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1)*;CC;CCCCOc1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1
O=C(C*)c1ccc(Cl)cc1;Sc1nc(Nc2ccc3c(c2)OCO3)c2ccccc2n1;O=C(CSc1nc(Nc2ccc3c(c2)OCO3)c2ccccc2n1)c1ccc(Cl)cc1
CCN(CC)*;c1ccc(NC(=O)CSc2nc3sc(C)cc3c(=O)n2C)cc1;CCN(CC)c1ccc(NC(=O)CSc2nc3sc(C)cc3c(=O)n2C)cc1
O(c1ccccc1NC(=O)c1cc2cc3c4c(c2oc1=N)CCCN4CCC3)*;CC;CCOc1ccccc1NC(=O)c1cc2cc3c4c(c2oc1=N)CCCN4CCC3
CCC(=O)*;N1CCCc2ccc(NS(=O)(=O)c3c(C)c(C)cc(C)c3C)cc21;CCC(=O)N1CCCc2ccc(NS(=O)(=O)c3c(C)c(C)cc(C)c3C)cc21
CCOC(=O)c1c(-c2ccccc2)csc1*;NC(=O)c1ccc(OC)c(OC)c1;CCOC(=O)c1c(-c2ccccc2)csc1NC(=O)c1ccc(OC)c(OC)c1
O=C(Nc1cccnc1)*;CCN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S;O=C(CCN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S)Nc1cccnc1
O=C(N*)c1ccncc1;c1ccc2c(c1)OCCO2;O=C(Nc1ccc2c(c1)OCCO2)c1ccncc1
COc1ccc(CCC(=O)NC2CC(=O)N(c3ccc(*)cc3)C2)cc1;OC;COc1ccc(CCC(=O)NC2CC(=O)N(c3ccc(OC)cc3)C2)cc1
Cc1cc(N2CCCN(C(=O)*)CC2)nc2ccccc12;C(C)(C)C;Cc1cc(N2CCCN(C(=O)C(C)(C)C)CC2)nc2ccccc12
Cc1ccc2nc3c(cc(C(=O)N*)n3C)c(=O)n2c1;CC(C)C;Cc1ccc2nc3c(cc(C(=O)NCC(C)C)n3C)c(=O)n2c1
